name,agn_spec_class,xray_lum,logmass,RA,Dec,type,slope,cen_dens,dist
Circinus,S1h,42.2,10.06881696241243,213.291458,-65.339222,1,-0.92,6918.309709189362,4.2
ESO269-068,,-99.0,7.51866251,198.2976015,-43.2650589,0,-2.5496329570843015,164.210919010426,3.73
ESO274-1,,-99.0,9.121871648394771,228.557667,-46.807944,1,-2.16,602.5595860743575,2.79
IC 1459,S3,40.91,11.174862803467985,344.29418100000004,-36.4622102,0,-4.004550772544697,57618.838135294514,28.7
IC5052,,0.0,9.180485651990802,313.023208,-69.201639,1,-2.06,1148.1536214968828,5.5
KK96,,-99.0,7.07330028,162.61291666666668,12.360833333333334,0,-2.1130989257245885,134.58555863892386,10.0
LV J1217+4,,-99.0,6.58,184.29208333333332,47.06361111111111,1,-2.8526122838275874,32.317528358113144,13.8
LeG09,,-99.0,6.99333377,160.64416666666668,12.150555555555556,0,-1.9450639619438272,170.2985926092224,10.19
NGC 0584,,38.79,10.564994807087377,22.836393,-6.868085,0,-1.07967262043793,1092.7816452538461,20.0
NGC 0596,,-99.0,10.465019721560191,23.216271000000003,-7.0315417,0,-1.381183877430627,6188.745957106784,21.833
NGC 0821,,38.51,10.7059289197818,32.08803,10.9949848,0,-1.348550012491216,19125.41798099371,23.2
NGC 1023,,38.78,10.798288768532489,40.0999395,39.0632533,0,-1.8760103633269245,33978.390360959886,9.7
NGC 1316,,39.65,11.329889317763486,50.674955999999995,-37.208308,0,-1.5734730624501145,11026.371508282671,19.85
NGC 1374,,0.0,10.302534724872125,53.819098499999996,-35.2263035,0,-0.3767237299166647,11465.910852393776,19.7
NGC 1399,,39.23,11.165638665473189,54.621120000000005,-35.4506257,0,-1.095390536929332,931.3617874465043,21.1
NGC 1426,,0.0,10.335890179979366,55.704639,-22.1083916,0,-1.7604299325132544,25683.03187693546,22.4
NGC 1427,,38.23,10.388053601259468,55.5808605,-35.3927299,0,-2.124777525681035,20284.294337672916,19.4
NGC 1439,,39.49,10.492309545422495,56.208309,-21.9207205,0,-2.0646710247152353,25077.136986012785,26.7
NGC 2300,,39.19,10.81144441797514,113.08533299999999,85.7088611,0,-1.1192955673785123,712.7346772920118,27.549537921751657
NGC 2434,,38.46,10.583513927209209,113.7132975,-69.284194,0,-1.0579560714001925,16832.5417745851,21.8
NGC 2778,,38.4,9.936076939366313,138.101577,35.0274969,0,-2.4848630054006144,47242.41347418979,23.2
NGC 2974,S2,-99.0,10.614046617370223,145.63863,-3.6988999,0,-1.5507903482502328,22844.57823701557,22.1
NGC 3115,,38.37,10.547538054616787,151.308132,-7.7184976,0,-2.1337592908476823,35677.91869739568,9.68
NGC 3377,,38.11,9.978335353963969,161.92656599999998,13.9856408,0,-1.6159650585994023,54109.046789914246,10.42
NGC 3379,,38.25,10.631995263704503,161.95665300000002,12.5816381,0,-1.0794851289455742,2987.008635171277,11.32
NGC 3384,,38.52,10.135212715585755,162.07041600000002,12.6293385,0,-2.1477463383465984,22597.32948462479,9.42
NGC 3412,,0.0,10.014137824813503,162.7220985,13.4121612,0,-1.0149302026267506,21145.054226752196,11.32
NGC 3522,,0.0,9.694231010818198,166.66859399999998,20.0855981,0,-1.891031154573475,39255.924977977294,25.2
NGC 3585,,38.85,10.930328354851795,168.3212415,-26.7548771,0,-1.0916991769537168,29786.810739758315,20.4
NGC 3607,S2,39.16,10.865441879716572,169.2276675,18.0518559,0,-0.8958154656830423,3085.7100382313515,22.8
NGC 3608,,38.98,10.45273322694483,169.2456435,18.1486059,0,-1.0018918871937135,5585.381732188895,22.9
NGC 3610,,39.26,10.803701375079946,169.605291,58.7862361,0,-1.3272955020455872,36031.71196526673,34.8
NGC 3640,,0.0,10.89908066532127,170.2787475,3.2348187,0,-0.1821685800221515,3666.9487740950126,27.0
NGC 3796,,-99.0,9.60722772728223,175.12971,60.2989222,0,-0.483159374077483,5466.67747633337,21.421504070780788
NGC 3945,,40.3,10.543082928281008,178.306944,60.6755863,0,-2.3937144748787165,23588.353971686516,21.55492515228765
NGC 4026,,38.28,10.059030549952416,179.85459,50.9616836,0,-1.9000688658430172,31595.166828378115,13.6
NGC 4262,,0.0,9.967660823685874,184.87750799999998,14.8775607,0,-1.4753804542406446,14986.873872335673,15.417012
NGC 4278,S3b,39.8,10.59051607555319,185.028264,29.28064,0,-3.442882527948378,8742.540303287826,16.07
NGC 4291,,39.15,10.499017306979516,185.07370799999998,75.3709444,0,-0.767546831103673,2091.059353570068,26.3
NGC 4342,,39.15,9.926178439866197,185.91251849999998,7.05395,0,-1.8909536454766862,76733.0424327571,19.5
NGC 4365,,38.69,11.093607108164827,186.1169205,7.3167467,0,-0.22065575162904952,876.6051168562739,23.334582
NGC 4377,,0.0,10.018697145650659,186.30134850000002,14.7622167,0,-0.27770256856144226,6642.535470795561,17.782794
NGC 4379,,38.36,9.916353082243157,186.3113925,15.6074185,0,-1.682317076646746,25508.509355764596,15.848925
NGC 4382,,38.5,11.015253950831852,186.35000399999998,18.190178,0,-0.9021647211315387,920.1492481509675,17.86487
NGC 4387,,0.0,9.844408180579746,186.423702,12.8104323,0,-1.5805991065487617,6050.0146134508195,17.947344
NGC 4434,,0.0,10.032061130076826,186.90284100000002,8.1543168,0,-1.9496765291948144,13125.251766765476,22.387206
NGC 4458,,0.0,9.725874942727454,187.239837,13.2419028,0,-1.56609980778622,10909.835084243226,16.368156
NGC 4464,,38.35,9.579932365183444,187.3387305,8.1565929,0,-1.4656866837718159,7746.047290001401,15.848925
NGC 4467,,38.59,9.045914038427814,187.376091,7.9928797,0,-1.3229991635382723,3535.5018488379624,16.5
NGC 4472,S2,38.66,11.296438582566449,187.444536,7.999724,0,-1.3198701330611327,768.3086009830719,17.139582
NGC 4473,,38.28,10.494223836578936,187.4536065,13.4294672,0,-0.2601558720273194,3086.9134748458127,15.275661
NGC 4474,,0.0,9.969147193091752,187.473165,14.0686042,0,-1.6782597020301355,14944.438290128523,15.559653
NGC 4478,,0.0,10.08032527483363,187.5725385,12.3286079,0,-1.65599727687416,7751.176749288972,16.982438
NGC 4483,,0.0,9.715775209272755,187.6693575,9.0156651,0,-1.3845401922908043,7899.12116999202,16.749428
NGC 4486B,,39.07,9.330386795314405,187.633218,12.4901933,0,-0.11334113715856944,2785.7078170162313,16.292956
NGC 4489,,0.0,9.651102318194145,187.7176935,16.7588163,0,-1.5623681166368968,2028.281525892161,15.417012
